,movie,year,imdb,metascore,votes,us_grossMillions,timeMin,genre,certificate,stars,descriptions
532,Roma,2018,7.7,96.0,158580,,135,Drama            ,R,"
    Director:
Alfonso Cuarón
| 
    Stars:
Yalitza Aparicio, 
Marina de Tavira, 
Diego Cortina Autrey, 
Carlos Peralta
","
A year in the life of a middle-class family's maid in Mexico City in the early 1970s."
533,Demon Slayer the Movie: Mugen Train,2020,8.2,72.0,57761,47.7,117,"Animation, Action, Adventure            ",R,"
    Director:
Haruo Sotozaki
| 
    Stars:
Natsuki Hanae, 
Akari Kitô, 
Yoshitsugu Matsuoka, 
Hiro Shimono
","
After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
534,21 Grams,2003,7.6,70.0,237818,16.29,124,"Crime, Drama, Thriller            ",R,"
    Director:
Alejandro G. Iñárritu
| 
    Stars:
Sean Penn, 
Benicio Del Toro, 
Naomi Watts, 
Danny Huston
","
A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con."
535,All the President's Men,1976,7.9,84.0,116423,70.6,138,"Drama, History, Thriller            ",PG,"
    Director:
Alan J. Pakula
| 
    Stars:
Dustin Hoffman, 
Robert Redford, 
Jack Warden, 
Martin Balsam
","
""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation."
536,The Conversation,1974,7.8,87.0,112687,4.42,113,"Drama, Mystery, Thriller            ",PG,"
    Director:
Francis Ford Coppola
| 
    Stars:
Gene Hackman, 
John Cazale, 
Allen Garfield, 
Frederic Forrest
","
A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered."
537,The Magnificent Seven,1960,7.7,74.0,95568,4.91,128,"Action, Adventure, Western            ",Approved,"
    Director:
John Sturges
| 
    Stars:
Yul Brynner, 
Steve McQueen, 
Charles Bronson, 
Eli Wallach
","
Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits."
538,Rebel Without a Cause,1955,7.6,89.0,91563,,111,Drama            ,PG-13,"
    Director:
Nicholas Ray
| 
    Stars:
James Dean, 
Natalie Wood, 
Sal Mineo, 
Jim Backus
","
A rebellious young man with a troubled past comes to a new town, finding friends and enemies."
539,My Fair Lady,1964,7.8,95.0,96067,72.0,170,"Drama, Family, Musical            ",G,"
    Director:
George Cukor
| 
    Stars:
Audrey Hepburn, 
Rex Harrison, 
Stanley Holloway, 
Wilfrid Hyde-White
","
In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make crude flower girl, Eliza Doolittle, presentable in high society."
540,Lucky Number Slevin,2006,7.7,53.0,314168,22.49,110,"Crime, Drama, Thriller            ",R,"
    Director:
Paul McGuigan
| 
    Stars:
Josh Hartnett, 
Ben Kingsley, 
Morgan Freeman, 
Lucy Liu
","
A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him."
541,The Bridges of Madison County,1995,7.6,69.0,82426,71.52,135,"Drama, Romance            ",PG-13,"
    Director:
Clint Eastwood
| 
    Stars:
Clint Eastwood, 
Meryl Streep, 
Annie Corley, 
Victor Slezak
","
Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s."
542,The Name of the Rose,1986,7.7,54.0,109465,7.15,130,"Drama, Mystery, Thriller            ",R,"
    Director:
Jean-Jacques Annaud
| 
    Stars:
Sean Connery, 
Christian Slater, 
Helmut Qualtinger, 
Elya Baskin
","
An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey."
543,The Raid: Redemption,2011,7.6,73.0,205500,4.11,101,"Action, Crime, Thriller            ",R,"
    Director:
Gareth Evans
| 
    Stars:
Iko Uwais, 
Ananda George, 
Ray Sahetapy, 
Donny Alamsyah
","
A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs."
544,In the Heat of the Night,1967,7.9,75.0,76951,24.38,110,"Drama, Mystery, Thriller            ",Approved,"
    Director:
Norman Jewison
| 
    Stars:
Sidney Poitier, 
Rod Steiger, 
Warren Oates, 
Lee Grant
","
A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case."
545,Solaris,1972,8.0,90.0,91752,,167,"Drama, Mystery, Sci-Fi            ",PG,"
    Director:
Andrei Tarkovsky
| 
    Stars:
Natalya Bondarchuk, 
Donatas Banionis, 
Jüri Järvet, 
Vladislav Dvorzhetskiy
","
A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane."
546,M,1931,8.3,,158383,0.03,99,"Crime, Mystery, Thriller            ",Passed,"
    Director:
Fritz Lang
| 
    Stars:
Peter Lorre, 
Ellen Widmann, 
Inge Landgut, 
Otto Wernicke
","
When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
547,Ghost in the Shell,1995,7.9,76.0,143710,0.52,83,"Animation, Action, Crime            ",TV-MA,"
    Director:
Mamoru Oshii
| 
    Stars:
Atsuko Tanaka, 
Iemasa Kayumi, 
Akio Ôtsuka, 
Kôichi Yamadera
","
A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master."
548,Serpico,1973,7.7,81.0,124007,29.8,130,"Biography, Crime, Drama            ",R,"
    Director:
Sidney Lumet
| 
    Stars:
Al Pacino, 
John Randolph, 
Jack Kehoe, 
Biff McGuire
","
An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him."
549,Miracle on 34th Street,1947,7.9,88.0,47987,2.65,96,"Comedy, Drama, Family            ",Not Rated,"
    Director:
George Seaton
| 
    Stars:
Edmund Gwenn, 
Maureen O'Hara, 
John Payne, 
Gene Lockhart
","
After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken."
550,Amores perros,2000,8.1,83.0,240960,5.38,154,"Drama, Thriller            ",R,"
    Director:
Alejandro G. Iñárritu
| 
    Stars:
Emilio Echevarría, 
Gael García Bernal, 
Goya Toledo, 
Álvaro Guerrero
","
A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
551,Malcolm X,1992,7.7,73.0,95270,48.17,202,"Biography, Drama, History            ",PG-13,"
    Director:
Spike Lee
| 
    Stars:
Denzel Washington, 
Angela Bassett, 
Delroy Lindo, 
Spike Lee
","
Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam."
552,Gandhi,1982,8.1,79.0,232102,52.77,191,"Biography, Drama            ",PG,"
    Director:
Richard Attenborough
| 
    Stars:
Ben Kingsley, 
John Gielgud, 
Rohini Hattangadi, 
Roshan Seth
","
The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest."
553,A Silent Voice: The Movie,2016,8.1,78.0,81836,,130,"Animation, Drama            ",Not Rated,"
    Director:
Naoko Yamada
| 
    Stars:
Miyu Irino, 
Saori Hayami, 
Aoi Yûki, 
Kenshô Ono
","
A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption."
554,Frankenstein,1931,7.8,91.0,73815,,70,"Drama, Horror, Sci-Fi            ",Passed,"
    Director:
James Whale
| 
    Stars:
Colin Clive, 
Mae Clarke, 
Boris Karloff, 
John Boles
","
Dr. Frankenstein dares to tamper with life and death by creating a human monster out of lifeless body parts."
555,Rushmore,1998,7.6,86.0,186365,17.11,93,"Comedy, Drama, Romance            ",R,"
    Director:
Wes Anderson
| 
    Stars:
Jason Schwartzman, 
Bill Murray, 
Olivia Williams, 
Seymour Cassel
","
A teenager at Rushmore Academy falls for a much older teacher and befriends a middle-aged industrialist. Later, he finds out that his love interest and his friend are having an affair, which prompts him to begin a vendetta."
556,Before Midnight,2013,7.9,94.0,158876,8.11,109,"Drama, Romance            ",R,"
    Director:
Richard Linklater
| 
    Stars:
Ethan Hawke, 
Julie Delpy, 
Seamus Davey-Fitzpatrick, 
Ariane Labed
","
We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna."
557,A Fistful of Dollars,1964,7.9,65.0,218033,14.5,99,"Action, Drama, Western            ",R,"
    Director:
Sergio Leone
| 
    Stars:
Clint Eastwood, 
Gian Maria Volontè, 
Marianne Koch, 
Wolfgang Lukschy
","
A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge."
558,Being There,1979,8.0,83.0,73137,30.18,130,"Comedy, Drama            ",PG,"
    Director:
Hal Ashby
| 
    Stars:
Peter Sellers, 
Shirley MacLaine, 
Melvyn Douglas, 
Jack Warden
","
After the death of his employer forces him out of the only home he's ever known, a simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful tycoon and an insider in Washington politics."
559,Ip Man,2008,8.0,59.0,224434,,106,"Action, Biography, Drama            ",R,"
    Director:
Wilson Yip
| 
    Stars:
Donnie Yen, 
Simon Yam, 
Siu-Wong Fan, 
Ka-Tung Lam
","
During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive."
560,A Streetcar Named Desire,1951,7.9,97.0,108864,8.0,122,Drama            ,PG,"
    Director:
Elia Kazan
| 
    Stars:
Vivien Leigh, 
Marlon Brando, 
Kim Hunter, 
Karl Malden
","
Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her."
561,Changeling,2008,7.8,63.0,256249,35.74,141,"Biography, Crime, Drama            ",R,"
    Director:
Clint Eastwood
| 
    Stars:
Angelina Jolie, 
Colm Feore, 
Amy Ryan, 
Gattlin Griffith
","
Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when they try to pass off an obvious impostor as her missing child."
562,For a Few Dollars More,1965,8.2,74.0,256990,15.0,132,Western            ,R,"
    Director:
Sergio Leone
| 
    Stars:
Clint Eastwood, 
Lee Van Cleef, 
Gian Maria Volontè, 
Mara Krupp
","
Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw."
563,The Seventh Seal,1957,8.1,88.0,185645,,96,"Drama, Fantasy            ",Not Rated,"
    Director:
Ingmar Bergman
| 
    Stars:
Max von Sydow, 
Gunnar Björnstrand, 
Bengt Ekerot, 
Nils Poppe
","
A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
564,The Remains of the Day,1993,7.8,86.0,75132,22.95,134,"Drama, Romance            ",PG,"
    Director:
James Ivory
| 
    Stars:
Anthony Hopkins, 
Emma Thompson, 
John Haycraft, 
Christopher Reeve
","
A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer."
565,Cabaret,1972,7.8,80.0,55610,42.77,124,"Drama, Music, Musical            ",PG,"
    Director:
Bob Fosse
| 
    Stars:
Liza Minnelli, 
Michael York, 
Helmut Griem, 
Joel Grey
","
A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them."
566,A Very Long Engagement,2004,7.6,76.0,74109,6.17,133,"Drama, Mystery, Romance            ",R,"
    Director:
Jean-Pierre Jeunet
| 
    Stars:
Audrey Tautou, 
Gaspard Ulliel, 
Jodie Foster, 
Dominique Pinon
","
Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One."
567,Dawn of the Planet of the Apes,2014,7.6,79.0,442268,208.55,130,"Action, Adventure, Drama            ",PG-13,"
    Director:
Matt Reeves
| 
    Stars:
Gary Oldman, 
Keri Russell, 
Andy Serkis, 
Kodi Smit-McPhee
","
The fragile peace between apes and humans is threatened as mistrust and betrayal threaten to plunge both tribes into a war for dominance over the Earth."
568,Harakiri,1962,8.6,85.0,57194,,133,"Action, Drama, Mystery            ",Not Rated,"
    Director:
Masaki Kobayashi
| 
    Stars:
Tatsuya Nakadai, 
Akira Ishihama, 
Shima Iwashita, 
Tetsurô Tanba
","
When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
569,Searching,2018,7.6,71.0,163235,26.02,102,"Drama, Horror, Mystery            ",PG-13,"
    Director:
Aneesh Chaganty
| 
    Stars:
John Cho, 
Debra Messing, 
Joseph Lee, 
Michelle La
","
After his teenage daughter goes missing, a desperate father tries to find clues on her laptop."
570,Glory,1989,7.8,78.0,135760,26.83,122,"Biography, Drama, History            ",R,"
    Director:
Edward Zwick
| 
    Stars:
Matthew Broderick, 
Denzel Washington, 
Cary Elwes, 
Morgan Freeman
","
Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates."
571,The Insider,1999,7.8,84.0,171977,28.97,157,"Biography, Drama, Thriller            ",R,"
    Director:
Michael Mann
| 
    Stars:
Russell Crowe, 
Al Pacino, 
Christopher Plummer, 
Diane Venora
","
A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco."
572,Billy Elliot,2000,7.7,74.0,135596,22.0,110,"Drama, Music            ",R,"
    Director:
Stephen Daldry
| 
    Stars:
Jamie Bell, 
Julie Walters, 
Jean Heywood, 
Jamie Draven
","
A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family."
573,Kung Fu Hustle,2004,7.7,78.0,140550,17.11,99,"Action, Comedy, Fantasy            ",R,"
    Director:
Stephen Chow
| 
    Stars:
Stephen Chow, 
Wah Yuen, 
Qiu Yuen, 
Siu-Lung Leung
","
In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf."
574,The Last Picture Show,1971,8.0,93.0,48795,29.13,118,"Drama, Romance            ",R,"
    Director:
Peter Bogdanovich
| 
    Stars:
Timothy Bottoms, 
Jeff Bridges, 
Cybill Shepherd, 
Ben Johnson
","
In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically."
575,The Best Offer,2013,7.8,49.0,119965,0.09,131,"Crime, Drama, Mystery            ",R,"
    Director:
Giuseppe Tornatore
| 
    Stars:
Geoffrey Rush, 
Jim Sturgess, 
Sylvia Hoeks, 
Donald Sutherland
","
A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining."
576,Pink Floyd: The Wall,1982,8.0,47.0,81544,22.24,95,"Drama, Fantasy, Music            ",R,"
    Director:
Alan Parker
| 
    Stars:
Bob Geldof, 
Christine Hargreaves, 
James Laurenson, 
Eleanor David
","
A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone."
577,Cinderella Man,2005,8.0,69.0,188700,61.65,144,"Biography, Drama, Romance            ",PG-13,"
    Director:
Ron Howard
| 
    Stars:
Russell Crowe, 
Renée Zellweger, 
Craig Bierko, 
Paul Giamatti
","
The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world."
578,The Apartment,1960,8.3,94.0,181895,18.6,125,"Comedy, Drama, Romance            ",Approved,"
    Director:
Billy Wilder
| 
    Stars:
Jack Lemmon, 
Shirley MacLaine, 
Fred MacMurray, 
Ray Walston
","
A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
579,Sing Street,2016,7.9,79.0,94212,3.24,106,"Comedy, Drama, Music            ",PG-13,"
    Director:
John Carney
| 
    Stars:
Ferdia Walsh-Peelo, 
Aidan Gillen, 
Maria Doyle Kennedy, 
Jack Reynor
","
A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes."
580,Network,1976,8.1,83.0,160150,,121,Drama            ,R,"
    Director:
Sidney Lumet
| 
    Stars:
Faye Dunaway, 
William Holden, 
Peter Finch, 
Robert Duvall
","
A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control."
581,The Grapes of Wrath,1940,8.1,96.0,93722,0.06,129,Drama            ,Passed,"
    Director:
John Ford
| 
    Stars:
Henry Fonda, 
Jane Darwell, 
John Carradine, 
Charley Grapewin
","
An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression."
582,Rio Bravo,1959,8.0,93.0,63102,12.54,141,Western            ,Passed,"
    Director:
Howard Hawks
| 
    Stars:
John Wayne, 
Dean Martin, 
Ricky Nelson, 
Angie Dickinson
","
A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy."
583,Gaslight,1944,7.8,78.0,29735,,114,"Crime, Drama, Mystery            ",Passed,"
    Director:
George Cukor
| 
    Stars:
Charles Boyer, 
Ingrid Bergman, 
Joseph Cotten, 
May Whitty
","
Ten years after her aunt was murdered in their London home, a woman returns from Italy in the 1880s to resume residence with her new husband. His obsessive interest in the home rises from a secret that may require driving his wife insane."
584,The Bride of Frankenstein,1935,7.8,95.0,49344,4.36,75,"Drama, Horror, Sci-Fi            ",Not Rated,"
    Director:
James Whale
| 
    Stars:
Boris Karloff, 
Elsa Lanchester, 
Colin Clive, 
Valerie Hobson
","
Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate."
585,Ran,1985,8.2,96.0,126075,4.14,162,"Action, Drama, War            ",R,"
    Director:
Akira Kurosawa
| 
    Stars:
Tatsuya Nakadai, 
Akira Terao, 
Jinpachi Nezu, 
Daisuke Ryû
","
In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
586,You Can't Take It with You,1938,7.8,,26113,4.66,126,"Comedy, Drama, Romance            ",Passed,"
    Director:
Frank Capra
| 
    Stars:
Jean Arthur, 
James Stewart, 
Lionel Barrymore, 
Edward Arnold
","
The son of a snobbish Wall Street banker becomes engaged to a woman from a good-natured but decidedly eccentric family, not realizing that his father is trying to force her family from their home for a real estate development."
587,Witness for the Prosecution,1957,8.4,76.0,125762,8.18,116,"Crime, Drama, Mystery            ",Approved,"
    Director:
Billy Wilder
| 
    Stars:
Tyrone Power, 
Marlene Dietrich, 
Charles Laughton, 
Elsa Lanchester
","
A veteran British barrister must defend his client in a murder trial that has surprise after surprise."
588,The Great Beauty,2013,7.7,86.0,91373,2.85,141,Drama            ,Not Rated,"
    Director:
Paolo Sorrentino
| 
    Stars:
Toni Servillo, 
Carlo Verdone, 
Sabrina Ferilli, 
Carlo Buccirosso
","
Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty."
589,Sabrina,1954,7.6,72.0,65663,,113,"Comedy, Drama, Romance            ",Passed,"
    Director:
Billy Wilder
| 
    Stars:
Humphrey Bogart, 
Audrey Hepburn, 
William Holden, 
Walter Hampden
","
A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her."
590,Rebecca,1940,8.1,86.0,137783,4.36,130,"Drama, Film-Noir, Mystery            ",Approved,"
    Director:
Alfred Hitchcock
| 
    Stars:
Laurence Olivier, 
Joan Fontaine, 
George Sanders, 
Judith Anderson
","
A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence."
591,How to Train Your Dragon 2,2014,7.8,77.0,336099,177.0,102,"Animation, Action, Adventure            ",PG,"
    Director:
Dean DeBlois
| 
    Stars:
Jay Baruchel, 
Cate Blanchett, 
Gerard Butler, 
Craig Ferguson
","
When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace."
592,Mississippi Burning,1988,7.8,65.0,101520,34.6,128,"Crime, Drama, History            ",R,"
    Director:
Alan Parker
| 
    Stars:
Gene Hackman, 
Willem Dafoe, 
Frances McDormand, 
Brad Dourif
","
Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists."
593,Hotel Rwanda,2004,8.1,79.0,356000,23.53,121,"Biography, Drama, History            ",PG-13,"
    Director:
Terry George
| 
    Stars:
Don Cheadle, 
Sophie Okonedo, 
Joaquin Phoenix, 
Xolani Mali
","
Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
594,Paper Moon,1973,8.1,77.0,48133,30.93,102,"Comedy, Crime, Drama            ",PG,"
    Director:
Peter Bogdanovich
| 
    Stars:
Ryan O'Neal, 
Tatum O'Neal, 
Madeline Kahn, 
John Hillerman
","
During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership."
595,Enter the Dragon,1973,7.6,83.0,105253,25.0,102,"Action, Crime, Drama            ",R,"
    Director:
Robert Clouse
| 
    Stars:
Bruce Lee, 
John Saxon, 
Jim Kelly, 
Ahna Capri
","
A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament."
596,Double Indemnity,1944,8.3,95.0,157767,5.72,107,"Crime, Drama, Film-Noir            ",Passed,"
    Director:
Billy Wilder
| 
    Stars:
Fred MacMurray, 
Barbara Stanwyck, 
Edward G. Robinson, 
Byron Barr
","
A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
597,Ed Wood,1994,7.8,70.0,177118,5.89,127,"Biography, Comedy, Drama            ",R,"
    Director:
Tim Burton
| 
    Stars:
Johnny Depp, 
Martin Landau, 
Sarah Jessica Parker, 
Patricia Arquette
","
Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent."
598,Me and Earl and the Dying Girl,2015,7.7,74.0,132478,6.74,105,"Comedy, Drama, Romance            ",PG-13,"
    Director:
Alfonso Gomez-Rejon
| 
    Stars:
Thomas Mann, 
RJ Cyler, 
Olivia Cooke, 
Nick Offerman
","
High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer."
599,I Am Sam,2001,7.6,28.0,150709,40.31,132,Drama            ,PG-13,"
    Director:
Jessie Nelson
| 
    Stars:
Sean Penn, 
Michelle Pfeiffer, 
Dakota Fanning, 
Dianne Wiest
","
A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family."
600,On the Waterfront,1954,8.1,91.0,155660,9.6,108,"Crime, Drama, Thriller            ",Approved,"
    Director:
Elia Kazan
| 
    Stars:
Marlon Brando, 
Karl Malden, 
Lee J. Cobb, 
Rod Steiger
","
An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
601,Detachment,2011,7.7,52.0,86729,0.07,98,Drama            ,Not Rated,"
    Director:
Tony Kaye
| 
    Stars:
Adrien Brody, 
Christina Hendricks, 
Marcia Gay Harden, 
Lucy Liu
","
A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment."
602,Shadow of a Doubt,1943,7.8,94.0,66127,,108,"Film-Noir, Thriller            ",Passed,"
    Director:
Alfred Hitchcock
| 
    Stars:
Teresa Wright, 
Joseph Cotten, 
Macdonald Carey, 
Henry Travers
","
A teenage girl, overjoyed when her favorite uncle comes to visit the family in their quiet California town, slowly begins to suspect that he is in fact the ""Merry Widow"" killer sought by the authorities."
603,Hero,2002,7.9,85.0,181933,53.71,120,"Action, Adventure, Drama            ",PG-13,"
    Director:
Yimou Zhang
| 
    Stars:
Jet Li, 
Tony Chiu-Wai Leung, 
Maggie Cheung, 
Ziyi Zhang
","
A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors."
604,Patton,1970,7.9,91.0,102707,61.7,172,"Biography, Drama, War            ",GP,"
    Director:
Franklin J. Schaffner
| 
    Stars:
George C. Scott, 
Karl Malden, 
Stephen Young, 
Michael Strong
","
The World War II phase of the career of controversial American general George S. Patton."
605,Seven Pounds,2008,7.6,36.0,303690,69.95,123,Drama            ,PG-13,"
    Director:
Gabriele Muccino
| 
    Stars:
Will Smith, 
Rosario Dawson, 
Woody Harrelson, 
Michael Ealy
","
A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers."
606,8½,1963,8.0,91.0,118460,0.05,138,Drama            ,Not Rated,"
    Director:
Federico Fellini
| 
    Stars:
Marcello Mastroianni, 
Anouk Aimée, 
Claudia Cardinale, 
Sandra Milo
","
A harried movie director retreats into his memories and fantasies."
607,Dancer in the Dark,2000,7.9,61.0,110581,4.18,140,"Crime, Drama, Musical            ",R,"
    Director:
Lars von Trier
| 
    Stars:
Björk, 
Catherine Deneuve, 
David Morse, 
Peter Stormare
","
An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision."
608,Harold and Maude,1971,7.9,62.0,77907,,91,"Comedy, Drama, Romance            ",PG,"
    Director:
Hal Ashby
| 
    Stars:
Ruth Gordon, 
Bud Cort, 
Vivian Pickles, 
Cyril Cusack
","
Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral."
609,From Here to Eternity,1953,7.6,85.0,47469,30.5,118,"Drama, Romance, War            ",Passed,"
    Director:
Fred Zinnemann
| 
    Stars:
Burt Lancaster, 
Montgomery Clift, 
Deborah Kerr, 
Donna Reed
","
At a U.S. Army base in 1941 Hawaii, a private is cruelly punished for not boxing on his unit's team, while his commanding officer's wife and top aide begin a tentative affair."
610,The King of Comedy,1982,7.8,73.0,104576,2.5,109,"Comedy, Crime, Drama            ",PG,"
    Director:
Martin Scorsese
| 
    Stars:
Robert De Niro, 
Jerry Lewis, 
Diahnne Abbott, 
Sandra Bernhard
","
Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself."
611,Kramer vs. Kramer,1979,7.8,77.0,145995,106.26,105,Drama            ,PG,"
    Director:
Robert Benton
| 
    Stars:
Dustin Hoffman, 
Meryl Streep, 
Jane Alexander, 
Justin Henry
","
After his wife leaves him, a work-obsessed Manhattan advertising executive is forced to learn long-neglected parenting skills, but a heated custody battle over the couple's young son deepens the wounds left by the separation."
612,October Sky,1999,7.8,71.0,91788,32.48,108,"Biography, Drama, Family            ",PG,"
    Director:
Joe Johnston
| 
    Stars:
Jake Gyllenhaal, 
Chris Cooper, 
Laura Dern, 
Chris Owen
","
The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes."
613,Ponyo,2008,7.6,86.0,144587,15.09,101,"Animation, Adventure, Comedy            ",G,"
    Director:
Hayao Miyazaki
| 
    Stars:
Cate Blanchett, 
Matt Damon, 
Liam Neeson, 
Tomoko Yamaguchi
","
A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him."
614,All That Jazz,1979,7.8,72.0,32353,37.82,123,"Drama, Music, Musical            ",R,"
    Director:
Bob Fosse
| 
    Stars:
Roy Scheider, 
Jessica Lange, 
Ann Reinking, 
Leland Palmer
","
Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer."
615,The Outlaw Josey Wales,1976,7.8,69.0,74437,31.8,135,Western            ,PG,"
    Director:
Clint Eastwood
| 
    Stars:
Clint Eastwood, 
Sondra Locke, 
Chief Dan George, 
Bill McKinney
","
Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family."
